rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
51.,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.",103 min,"Drama, Horror, Thriller",6.6,77.0,"83,216",,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia, Carel Struycken"
52.,Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.",120 min,"Action, Adventure, Drama",7.3,75.0,"98,164",,Bong Joon Ho,"Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal"
53.,Hostiles,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",134 min,"Drama, Western",7.2,65.0,"66,479",$29.82M,Scott Cooper,"Scott Shepherd, Rosamund Pike, Ava Cooper, Stella Cooper"
54.,The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",136 min,"Action, Adventure, Crime",6.7,56.0,"198,532",$226.01M,F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez"
55.,Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,117 min,"Action, Fantasy, Thriller",6.3,29.0,"163,790",,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez"
56.,The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",111 min,Drama,7.6,92.0,"88,865",$5.90M,Sean Baker,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera"
57.,"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",119 min,"Biography, Comedy, Drama",7.5,77.0,"171,999",$30.01M,Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson"
58.,Home Again,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,97 min,"Comedy, Drama, Romance",5.8,41.0,"26,842",$27.02M,Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander"
59.,xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",107 min,"Action, Adventure, Thriller",5.2,42.0,"83,364",$44.90M,D.J. Caruso,"Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu"
60.,Papillon,"Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island.",133 min,"Adventure, Biography, Crime",7.2,51.0,"48,602",$2.34M,Michael Noer,"Charlie Hunnam, Damijan Oklopdzic, Christopher Fairbank, Jason Ryan"
61.,Verónica,"Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.",105 min,Horror,6.2,,"33,873",,Paco Plaza,"Sandra Escacena, Bruna González, Claudia Placer, Iván Chavero"
62.,Romans,An adult victim of childhood sexual abuse confronts the horrors of his past.,91 min,"Drama, Thriller",5.2,58.0,636,,"Ludwig Shammasian, ","Orlando Bloom, Janet Montgomery, Charlie Creed-Miles, Anne Reid"
63.,Hickok,"Legendary lawman and gunslinger, Wild Bill Hickok, is tasked with taming the wildest cow-town in the west. While delivering his own brand of frontier justice, the infamous gunfighter's reputation as the fastest draw in the west is put to the test.",88 min,Western,4.7,49.0,"2,558",,Timothy Woodward Jr.,"Luke Hemsworth, Kris Kristofferson, Trace Adkins, Bruce Dern"
64.,Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",134 min,"Action, Biography, Drama",7.6,72.0,"54,574",$18.34M,Joseph Kosinski,"Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly"
65.,Valerian and the City of a Thousand Planets,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",136 min,"Action, Adventure, Fantasy",6.5,51.0,"156,697",$41.19M,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
66.,Phantom Thread,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",130 min,"Drama, Romance",7.5,90.0,"105,465",$21.02M,Paul Thomas Anderson,"Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono"
67.,Mary Shelley,"Life and facts of Mary Wollstonecraft Godwin, who at 16 met 21 year old poet Percy Shelley, resulting in the writing of Frankenstein.",120 min,"Biography, Drama, History",6.4,49.0,"12,045",$0.10M,Haifaa Al-Mansour,"Elle Fanning, Bel Powley, Owen Richards, Joanne Froggatt"
68.,You Were Never Really Here,"A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",89 min,"Crime, Drama, Mystery",6.8,84.0,"96,688",$2.52M,Lynne Ramsay,"Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov, John Doman"
69.,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",101 min,Drama,7.6,60.0,"95,217",$24.80M,Marc Webb,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer"
70.,Fifty Shades Darker,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",118 min,"Drama, Romance",4.6,33.0,"89,005",$114.38M,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
71.,The Current War,The dramatic story of the cutthroat race between electricity titans Thomas Edison and George Westinghouse to determine whose electrical system would power the modern world.,108 min,"Biography, Drama, History",6.5,55.0,"16,018",,Alfonso Gomez-Rejon,"Benedict Cumberbatch, Oliver Powell, Sophia Ally, Tuppence Middleton"
72.,1922,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",102 min,"Crime, Drama, Horror",6.3,70.0,"49,133",,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard"
73.,Darkest Hour,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.",125 min,"Biography, Drama, Family",7.4,75.0,"164,276",$56.47M,Joe Wright,"Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn"
74.,Newness,"In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",117 min,"Drama, Romance",6.4,50.0,"12,594",,Drake Doremus,"Nicholas Hoult, Laia Costa, Danny Huston, Courtney Eaton"
75.,The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,95 min,"Action, Adventure, Fantasy",5.6,34.0,"123,160",$50.70M,Nikolaj Arcel,"Idris Elba, Matthew McConaughey, Tom Taylor, Dennis Haysbert"
76.,The Ritual,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",94 min,"Horror, Mystery, Thriller",6.3,57.0,"71,366",,David Bruckner,"Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton"
77.,The Foreigner,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",113 min,"Action, Thriller",7.0,55.0,"95,470",$34.39M,Martin Campbell,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy"
78.,The Death of Stalin,"Moscow, 1953. After being in power for nearly thirty years, Soviet dictator Joseph Vissarionovich Stalin (Adrian McLoughlin) takes ill and quickly dies. Now the members of the Council of Ministers scramble for power.",107 min,"Comedy, Drama, History",7.2,88.0,"81,140",$8.04M,Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough"
79.,What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",123 min,"Action, Adventure, Crime",6.9,47.0,"98,196",,Tommy Wirkola,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari"
80.,All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,132 min,"Biography, Crime, Drama",6.8,72.0,"70,755",$25.11M,Ridley Scott,"Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris"
81.,Ghost in the Shell,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",107 min,"Action, Crime, Drama",6.3,52.0,"190,954",$40.56M,Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche"
82.,Power Rangers,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",124 min,"Action, Adventure, Sci-Fi",5.9,44.0,"99,710",$85.36M,Dean Israelite,"Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin"
83.,"Roman J. Israel, Esq.","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.",122 min,"Crime, Drama, Thriller",6.5,58.0,"30,629",$11.96M,Dan Gilroy,"Denzel Washington, Colin Farrell, Carmen Ejogo, Lynda Gravatt"
84.,Time Trap,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.,87 min,"Action, Adventure, Sci-Fi",6.5,46.0,"16,669",,"Mark Dennis, ","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon"
85.,War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",140 min,"Action, Adventure, Drama",7.4,82.0,"221,124",$146.88M,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
86.,The Mountain Between Us,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",112 min,"Action, Adventure, Drama",6.4,48.0,"64,422",$30.35M,Hany Abu-Assad,"Kate Winslet, Idris Elba, Beau Bridges, Dermot Mulroney"
87.,Cars 3,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,102 min,"Animation, Adventure, Comedy",6.7,59.0,"70,956",$152.90M,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion"
88.,The Upside,A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.,126 min,"Comedy, Drama",6.9,46.0,"42,308",$108.25M,Neil Burger,"Kevin Hart, Bryan Cranston, Nicole Kidman, Aja Naomi King"
89.,God's Own Country,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",104 min,"Drama, Romance",7.7,85.0,"23,000",$0.34M,Francis Lee,"Josh O'Connor, Alec Secareanu, Gemma Jones, Ian Hart"
90.,Unlocked,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,98 min,"Action, Drama, Mystery",6.2,46.0,"27,730",,Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich"
91.,It Comes at Night,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",91 min,"Horror, Mystery",6.2,78.0,"80,415",$13.99M,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough"
92.,A Ghost Story,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",92 min,"Drama, Fantasy, Romance",6.9,84.0,"57,334",$1.60M,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson"
93.,Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,121 min,"Crime, Drama, Thriller",7.3,59.0,"68,310",,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal"
94.,Raabta,"In 2017, Shiv and Saira fall for each other and form an inseparable connection. Until, Saira crosses paths with a reincarnated lover from a previous lifetime who is determined to make her his lover again.",147 min,"Action, Drama, Fantasy",4.5,,"4,350",,Dinesh Vijan,"Sushant Singh Rajput, Deepika Padukone, Rajkummar Rao, Kriti Sanon"
95.,The Endless,"As kids, they escaped an UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",111 min,"Drama, Fantasy, Horror",6.5,80.0,"30,148",$0.27M,"Justin Benson, ","Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington"
96.,47 Meters Down,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",89 min,"Adventure, Drama, Horror",5.6,52.0,"47,253",$44.31M,Johannes Roberts,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson"
97.,American Made,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",115 min,"Action, Biography, Comedy",7.2,65.0,"152,581",$51.34M,Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons"
98.,Death Note,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.",101 min,"Action, Adventure, Crime",4.5,43.0,"73,317",,Adam Wingard,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham"
99.,The Big Sick,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",120 min,"Comedy, Drama, Romance",7.5,86.0,"116,827",$42.87M,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano"
100.,Disobedience,"A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.",114 min,"Drama, Romance",6.6,74.0,"23,633",$3.48M,Sebastián Lelio,"Rachel Weisz, Rachel McAdams, Alessandro Nivola, Anton Lesser"
